Gene_acc,Gene_id,SMm1,SMm2,SMm3,SMm4,NST1m1,NST1m2,NST1m3,NST1m4,Desc
0,Tb927.5.4450,27699.0,20308.0,28309.0,19195.0,32411.0,27969.0,35575.0,19394.0,"hypothetical protein, conserved"
1,Tb927.5.4460,4982700.0,5071400.0,5221400.0,5013900.0,6891700.0,6848200.0,7265200.0,6921600.0,"major vault protein, putative"
2,Tb927.5.4470,255530.0,246310.0,276910.0,256070.0,356820.0,376500.0,403960.0,371540.0,"hypothetical protein, conserved"
3,Tb927.5.4480,1475600.0,1547100.0,1552600.0,1540700.0,2044400.0,2109000.0,2177500.0,2205300.0,"paraflagellar rod component par4, putative"
4,Tb927.5.4500,3032400.0,3228200.0,3377000.0,3151200.0,4239800.0,4534800.0,4418300.0,4418300.0,"ras-like small GTPase, putative"
5,Tb927.5.4520,102070.0,97231.0,115690.0,104750.0,162900.0,158250.0,154370.0,153500.0,Kinetochore interacting protein 1
6,Tb927.5.4360,114600.0,101670.0,122270.0,109730.0,137480.0,125710.0,147440.0,136170.0,"hypothetical protein, conserved"
7,Tb927.5.4560,4088600.0,4499500.0,4298400.0,4088100.0,5629600.0,5741200.0,5946500.0,5878100.0,"guanine deaminase, putative"
8,Tb05.5K5.210,48718.0,46715.0,54363.0,49535.0,78646.0,71927.0,96466.0,79311.0,hypothetical protein
9,Tb927.5.4580,22858.0,21273.0,19693.0,21915.0,23796.0,34867.0,34097.0,29225.0,Flagellum adhesion protein 3
10,Tb927.9.15940,21806.0,23598.0,22854.0,21548.0,22592.0,21560.0,22590.0,21423.0,"expression site-associated gene 3 (ESAG3) protein, putative"
11,Tb927.5.4380,1451900.0,1430700.0,1535000.0,1469200.0,2101000.0,2266100.0,2349100.0,2186600.0,Kinetoplastid-specific Protein Phosphatase 1
12,Tb927.5.4390,66251.0,64966.0,65391.0,68868.0,93479.0,102140.0,100080.0,88438.0,"hypothetical protein, conserved"
13,Tb927.5.4400,84637.0,79370.0,102070.0,95230.0,102350.0,120800.0,119240.0,117640.0,"hypothetical protein, conserved"
14,Tb927.5.4410,121290.0,120320.0,118720.0,126520.0,173580.0,185820.0,205440.0,165840.0,"hypothetical protein, conserved"
15,Tb927.5.4420,2118600.0,2191800.0,2278800.0,2396400.0,3029600.0,3170100.0,3241000.0,2963400.0,"nucleolar RNA helicase II, putative"
16,Tb927.5.4430,44676.0,43906.0,45458.0,38542.0,57797.0,56895.0,68859.0,66550.0,"calcium/calmodulin-dependent protein kinase, putative"
17,Tb927.5.4440,604360.0,540930.0,659920.0,602050.0,947000.0,1066100.0,993440.0,1008700.0,"dynein light chain, putative"
18,Tb06.3A7.960,912300.0,930480.0,926530.0,904430.0,1116500.0,1198500.0,1213200.0,1185500.0,hypothetical protein
19,Tb927.7.2140,3499.1,4127.1,7307.6,4153.8,4864.7,7509.5,5693.3,7620.6,"zinc finger protein family member, putative"
20,Tb09.v4.0013,22714.0,27329.0,27114.0,22329.0,32526.0,31573.0,35900.0,31243.0,"retrotransposon hot spot (RHS) protein, putative"
21,Tb09.v4.0015,6501.4,6287.9,6233.4,5853.6,8750.0,9347.2,8364.8,8497.8,hypothetical protein
22,Tb09.v4.0016,331250.0,344120.0,331750.0,331180.0,350920.0,395520.0,397610.0,364010.0,"expression site- associated gene (ESAG) protein, putative"
23,Tb09.v4.0030,8744.5,7522.2,10152.0,9114.4,6450.4,9256.6,9400.8,7532.5,"variant surface glycoprotein (VSG), putative"
24,Tb09.v4.0067,205500.0,221900.0,236060.0,227580.0,320020.0,315570.0,321130.0,235170.0,"retrotransposon hot spot protein, pseudogene"
26,Tb927.9.1130,95787.0,81445.0,128000.0,97730.0,170960.0,159220.0,193340.0,157700.0,"variant surface glycoprotein (VSG, pseudogene), putative"
28,Tb09.v4.0107,321660.0,307610.0,303530.0,299220.0,443920.0,405620.0,458370.0,425040.0,"expression site-associated gene 5 (ESAG5) protein, putative"
29,Tb09.v4.0109,221630.0,237140.0,235460.0,232400.0,340360.0,339950.0,337890.0,342240.0,hypothetical protein
30,Tb09.v4.0137,37540.0,48241.0,46837.0,39074.0,54126.0,77667.0,73212.0,84657.0,"variant surface glycoprotein, fragment"
